cotizacion_codigo,centro_costos,rq_codigo,cliente,unidad,solicitante,fecha_rq,tipo_principal,estado,descripcion_resumen,cantidad_items,origen,observaciones,prioridad
FOR-EKA-PRO-3_2024-305_REV01,4517933782,RQ-CJM056-003_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-05-27,EQUIPOS,PENDIENTE,3 CUERPOS DE ANDAMIOS 2 METROS POR 1 METROS MARCA PERI COMPLETOS,1,excel,,
FOR-EKA-PRO-3_2024-305_REV01,4517933782,RQ-CJM056-004_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-05-28,MATERIALES,ATENCION COMPLETA,PRENSAESTOPA METALICO IP67 PG13.5 C/TUERCA PCG-PG13.5W,77,excel,,
FOR-EKA-PRO-3_2024-305_REV01,4517933782,RQ-CJM056-005_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-06-02,EQUIPOS,PENDIENTE,MENSULA DE 0.75 cm,12,excel,,
FOR-EKA-PRO-3_2024-305_REV01,4517933782,RQ-CJM056-006_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-06-06,EPPs,ATENCION COMPLETA,TRAJE 3 EN 1,40,excel,,
FOR-EKA-PRO-3_2024-305_REV01,4517933782,RQ-CJM056-007_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-06-18,EPPS,ATENCION COMPLETA,"ZAPATO DIELECTRICO, BOTIN BAJO S/ PASADOR ZSBE-21 T-40 - ISM",1,excel,,
FOR-EKA-PRO-3_2024-305_REV01,4517933782,RQ-CJM056-008_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-06-30,CONSUMIBLES,ATENCION COMPLETA,Cargador De 4 Puertos Usb 48w Lagom Adaptador Clavija Enchufe,9,excel,,
FOR-EKA-PRO-3_2024-309,4517585237,RQ-UMCL008-002_2024 ,NEXA,U.M. CERRO LINDO,,2024-12-27,GASTOS GENERALES,ATENCION COMPLETA,ENMICADORA LIGERA,25,excel,,
FOR-EKA-PRO-3_2024-311,4517799192,RQ-CJM052-001_2024 ,NEXA,REFINERIA CAJAMARQUILLA,,2024-12-27,MATERIALES,ATENCION COMPLETA,"TABLERO DE INOX 316 1.5MM ESP,  200X250X110MM, IP65 - 10051589",1,excel,,
FOR-EKA-PRO-3_2025-001_REV02,4517878498,RQ-CJM073-001_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-10-14,MATERIALES,ATENCION COMPLETA,Cable NYY 4X4mm2 INDECO clase 5 libre de alogeno,95,excel,,
FOR-EKA-PRO-3_2025-001_REV02,4517878498,RQ-CJM073-002_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-12-02,CONSUMIBLES,ATENCION COMPLETA,Tyvek Dupont 600 Plus TALLA L,35,excel,,
FOR-EKA-PRO-3_2025-001_REV02,4517878498,RQ-CJM073-002_2026,NEXA,REFINERIA CAJAMARQUILLA,,2026-03-17,MATERIALES,ATENCION COMPLETA,Luminaria led (REFLECTOR FLOODLIGHT LED PFM 165W/850 20000LM IP65 NEGRO 100-277V – LEDVANCE),12,excel,,
FOR-EKA-PRO-3_2025-001_REV02,4517878498,RQ-CJM073-003_2025,NEXA,REFINERIA CAJAMARQUILLA,,2026-03-09,ECONOMATOS,ATENCION COMPLETA,"FORMATO ANALISIS PRELIMINAR DE RIESGO A/R, A4, COLORES (APR)",10,excel,,
FOR-EKA-PRO-3_2025-011_REV02,4518104357,RQ-CJM060-001_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-04-07,MATERIALES,ATENCION COMPLETA,"TUBERIA CONDUIT FLEXIBLE CON REVESTIMIENTO PVC DE 1"".",34,excel,,
DAVID ORTIZ,DAVID ORTIZ,DAVID ORTIZ,MANTENIMIENTO,MANTENIMIENTO,,DAVID,MATERIALES,ATENCION COMPLETA,"CABLE RV-K 3X95-1X70MM2, 0.6/1KV XLPE/PVC NEGRO, CLASE 5.",46,excel,,
